date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,762.0,783.7,750.0,755.0,-0.53,24759,18855552.9
2026-02-11,795.0,809.9,759.0,759.0,-2.69,16135,12421608.2
2026-02-10,751.0,819.0,751.0,780.0,1.79,32393,25627438.1
2026-02-09,791.0,806.0,765.1,766.3,-4.93,19184,15049084.4
2026-02-08,800.0,825.9,796.0,806.0,-0.62,24015,19393733.4
2026-02-05,799.0,814.0,790.0,811.0,1.5,32973,26370894.9
2026-02-04,820.1,845.0,785.6,799.0,-2.44,30041,24385975.5
2026-02-03,859.1,860.0,815.0,819.0,-3.08,27151,22448152.7
2026-02-02,810.0,865.0,810.0,845.0,3.81,38649,32693822.3
2026-02-01,838.0,838.0,807.0,814.0,-2.86,37523,30706427.6
2026-01-29,900.0,900.0,835.0,838.0,-5.29,79872,68405042.8
2026-01-28,850.5,890.0,833.0,884.8,3.96,83358,71357110.1
2026-01-27,880.0,927.0,850.1,851.1,-3.28,71930,63577043.7
2026-01-26,848.2,897.0,821.3,880.0,5.82,108598,92651353.8
2026-01-25,770.0,831.6,758.0,831.6,10.0,92708,74617262.2
2026-01-22,728.1,767.0,728.0,756.0,2.72,45011,33534881.6
2026-01-21,741.0,753.8,727.0,736.0,-0.67,30294,22286225.4
2026-01-20,736.0,761.0,735.0,741.0,0.68,43808,32690661.9
2026-01-18,710.5,755.1,710.5,736.0,1.52,40703,30218339.2
2026-01-14,727.2,745.0,716.3,725.0,-1.04,29212,21261015.7
2026-01-13,750.0,774.0,730.0,732.6,-3.58,34028,25365185.1
2026-01-12,732.0,768.2,731.3,759.8,3.37,45889,34566261.3
2026-01-08,708.1,741.0,708.1,735.0,2.23,35313,25784856.1
2026-01-07,722.0,745.0,711.0,719.0,-2.31,27353,19851384.5
2026-01-06,764.1,805.0,725.2,736.0,-3.73,68886,52025525.4
2026-01-05,755.0,780.0,745.0,764.5,1.93,81778,62363308.8
2026-01-04,712.0,750.0,712.0,750.0,4.6,66818,48672624.7
2026-01-01,685.0,722.0,685.0,717.0,4.31,93999,66949675.0
2025-12-31,686.1,702.0,685.0,687.4,-1.09,32463,22496225.9
2025-12-29,687.0,700.0,684.1,695.0,-0.56,12200,8441731.7
2025-12-28,677.0,702.0,677.0,698.9,1.29,31399,21781249.0
2025-12-24,682.1,702.0,682.1,690.0,-0.53,14037,9653854.5
2025-12-23,685.0,701.0,680.0,693.7,-0.72,23074,15915739.6
2025-12-22,676.0,715.0,671.1,698.7,1.56,32693,22616689.5
2025-12-21,711.7,711.7,676.4,688.0,-1.42,17851,12197005.1
2025-12-18,686.0,712.0,686.0,697.9,-0.16,29522,20515532.3
2025-12-17,700.0,718.0,690.1,699.0,-1.13,22832,15972028.3
2025-12-16,710.0,726.0,706.0,707.0,-0.28,35862,25745235.4
2025-12-15,683.0,714.9,670.8,709.0,3.81,44099,30991321.1
2025-12-14,680.0,700.0,671.2,683.0,-1.0,23232,15835651.0
2025-12-11,687.0,707.0,680.0,689.9,-0.78,29864,20598893.5
2025-12-10,715.0,746.0,695.0,695.3,-4.49,46274,32792481.0
2025-12-09,710.5,744.0,710.5,728.0,0.41,28643,20814916.8
2025-12-08,705.6,760.0,705.6,725.0,0.69,33327,24294507.3
2025-12-07,760.0,766.0,716.4,720.0,-6.98,92934,68678092.6
2025-12-03,722.3,805.0,722.3,774.0,5.02,97629,74788673.4
2025-12-02,656.6,737.0,656.6,737.0,10.0,107010,74981560.5
2025-12-01,658.6,688.0,658.6,670.0,-0.3,70380,47608206.0
2025-11-30,657.0,672.0,655.0,672.0,0.3,45883,30460670.2
2025-11-27,661.5,677.0,653.1,670.0,-0.74,44648,29633660.7
2025-11-26,686.6,686.6,653.0,675.0,0.27,48447,32208117.2
2025-11-25,672.0,673.2,644.0,673.2,0.18,57419,37492487.5
2025-11-24,689.2,702.9,662.5,672.0,-4.44,79607,54067914.4
2025-11-23,694.6,703.2,664.0,703.2,-0.78,61699,42058282.4
2025-11-20,691.3,730.0,665.0,708.7,0.47,70596,48114129.4
2025-11-19,654.1,705.4,628.2,705.4,10.0,61386,40925671.0
2025-11-18,583.0,641.3,560.1,641.3,10.0,40588,24953664.1
2025-11-17,546.0,597.3,536.5,583.0,7.37,62515,35875128.1
2025-11-16,560.0,590.5,523.9,543.0,-4.37,78776,43943498.0
2025-11-13,506.0,567.8,500.0,567.8,10.0,40560,22001397.0
2025-11-12,573.6,596.7,511.0,516.2,-8.21,125480,66038057.0
2025-11-11,515.0,562.4,515.0,562.4,9.99,5830,3277472.0
2025-11-10,474.1,511.3,474.1,511.3,9.98,1180,602418.0
2025-11-09,431.1,464.9,431.1,464.9,9.98,610,282758.0
2025-11-06,391.9,422.7,391.9,422.7,9.99,330,138424.0
2025-11-05,356.3,384.3,356.3,384.3,9.99,190,72328.0
2025-11-04,317.7,349.4,317.7,349.4,9.98,110,36858.0
2026-02-17,777.0,785.0,756.1,767.0,-1.29,15961,12270561.4
2026-02-16,760.0,777.2,750.3,777.0,2.91,8998,6882643.8
2026-02-24,731.1,765.0,729.0,755.0,2.03,14703,10927900.5
2026-02-23,716.0,740.0,716.0,740.0,1.37,15519,11257835.7
2026-02-22,760.0,760.0,722.0,730.0,-4.82,22696,16571240.9
