date,open,high,low,ltp,percent_change,qty,turnover
2026-04-21,210.0,210.0,210.0,210.0,-2.33,71000,14910000.0
2026-04-07,215.0,215.0,215.0,215.0,-1.38,43486,9349490.0
2025-10-19,200.0,200.0,200.0,200.0,0.0,299996,59999200.0
2025-08-25,200.0,200.0,200.0,200.0,0.0,86249,17249800.0
2025-08-24,200.0,200.0,200.0,200.0,0.0,8625,1725000.0
2025-08-11,200.0,200.0,200.0,200.0,0.0,18200,3640000.0
2025-07-14,200.0,200.0,200.0,200.0,0.0,19447,3889400.0
2025-07-06,200.0,200.0,200.0,200.0,-0.5,43125,8625000.0
2025-06-26,201.0,201.0,201.0,201.0,0.0,68244,13717044.0
2025-06-17,201.0,201.0,201.0,201.0,0.0,50000,10050000.0
2025-06-12,204.0,204.0,201.0,201.0,-2.38,1187143,239994672.0
2025-06-11,210.1,210.1,205.9,205.9,-3.92,68200,14118820.0
2025-06-10,218.6,218.6,214.3,214.3,-3.9,68250,14841185.7
2025-06-09,223.0,223.0,223.0,223.0,0.0,36400,8117200.0
