date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-09-17,1,2026091705012228,BEDC,58,32,10,302.00,"3,020.00"
2026-09-17,2,2026091705012135,BEDC,34,32,30,302.00,"9,060.00"
2026-09-17,3,2026091705011957,BEDC,59,32,10,302.00,"3,020.00"
2026-09-17,4,2026091705012229,BHDC,47,58,39,429.00,"16,731.00"
2026-09-17,5,2026091705011805,BHDC,58,1,20,428.70,"8,574.00"
2026-09-17,6,2026091705012227,BHL,32,51,110,217.10,"23,881.00"
2026-09-17,7,2026091705012106,BHL,26,51,400,217.20,"86,880.00"
2026-09-17,8,2026091705012052,BHL,90,51,500,217.20,"108,600.00"
2026-09-17,9,2026091705012021,BHL,90,48,"1,500",217.20,"325,800.00"
2026-09-17,10,2026091705011956,BHL,90,38,100,217.50,"21,750.00"
2026-09-17,11,2026091705011882,BHL,88,51,500,217.70,"108,850.00"
2026-09-17,12,2026091705011843,BHL,14,51,490,217.70,"106,673.00"
2026-09-17,13,2026091705011817,BHL,74,29,60,218.00,"13,080.00"
2026-09-17,14,2026091705011816,BHL,74,45,200,218.00,"43,600.00"
2026-09-17,15,2026091705012180,BHPL,34,35,10,460.90,"4,609.00"
2026-09-17,16,2026091705012140,BHPL,58,32,100,457.00,"45,700.00"
2026-09-17,17,2026091705012018,BNHC,57,48,600,279.80,"167,880.00"
2026-09-17,18,2026091705012283,CHDC,86,19,10,"2,367.00","23,670.00"
2026-09-17,19,2026091705012265,CHDC,96,19,10,"2,367.00","23,670.00"
2026-09-17,20,2026091705012250,CHDC,11,19,10,"2,367.00","23,670.00"
2026-09-17,21,2026091705012213,CHDC,96,19,10,"2,367.00","23,670.00"
2026-09-17,22,2026091705012188,CHDC,49,19,10,"2,367.00","23,670.00"
2026-09-17,23,2026091705012176,CHDC,39,59,10,"2,352.00","23,520.00"
2026-09-17,24,2026091705011791,CHDC,39,38,100,"2,351.00","235,100.00"
2026-09-17,25,2026091705011790,CHDC,97,38,200,"2,355.00","471,000.00"
2026-09-17,26,2026091705011789,CHDC,39,38,100,"2,355.00","235,500.00"
2026-09-17,27,2026091705011788,CHDC,35,38,26,"2,356.00","61,256.00"
2026-09-17,28,2026091705012175,CHDC,60,59,20,"2,352.10","47,042.00"
2026-09-17,29,2026091705012169,CHDC,96,4,10,"2,365.00","23,650.00"
2026-09-17,30,2026091705012050,CHDC,86,19,10,"2,367.00","23,670.00"
2026-09-17,31,2026091705011861,CHDC,6,50,244,"2,344.00","571,936.00"
2026-09-17,32,2026091705011860,CHDC,39,50,56,"2,350.00","131,600.00"
2026-09-17,33,2026091705011792,CHDC,39,38,44,"2,350.00","103,400.00"
2026-09-17,34,2026091705012178,CIT,51,64,10,"1,735.00","17,350.00"
2026-09-17,35,2026091705012177,CIT,51,48,70,"1,735.00","121,450.00"
2026-09-17,36,2026091705012171,CIT,57,48,10,"1,735.00","17,350.00"
2026-09-17,37,2026091705011955,CIT,94,48,20,"1,735.00","34,700.00"
2026-09-17,38,2026091705011954,CIT,16,48,100,"1,735.10","173,510.00"
2026-09-17,39,2026091705011831,CIT,94,48,30,"1,735.00","52,050.00"
2026-09-17,40,2026091705011830,CIT,21,48,170,"1,735.00","294,950.00"
2026-09-17,41,2026091705012280,CKHL,45,33,10,597.00,"5,970.00"
2026-09-17,42,2026091705012214,CKHL,82,33,20,597.00,"11,940.00"
2026-09-17,43,2026091705012144,CLI,16,32,13,433.00,"5,629.00"
2026-09-17,44,2026091705012143,CLI,16,54,20,433.00,"8,660.00"
2026-09-17,45,2026091705012142,CLI,16,51,13,433.00,"5,629.00"
2026-09-17,46,2026091705012141,CLI,16,35,13,433.00,"5,629.00"
2026-09-17,47,2026091705012110,CLI,58,26,630,430.10,"270,963.00"
2026-09-17,48,2026091705012109,CLI,33,26,500,431.00,"215,500.00"
2026-09-17,49,2026091705012108,CLI,49,26,300,431.10,"129,330.00"
2026-09-17,50,2026091705012107,CLI,42,26,70,432.00,"30,240.00"
2026-09-17,51,2026091705011990,CLI,58,16,990,432.90,"428,571.00"
2026-09-17,52,2026091705012285,DOLTI,35,94,10,306.00,"3,060.00"
2026-09-17,53,2026091705012125,DOLTI,81,94,"1,440",306.00,"440,640.00"
2026-09-17,54,2026091705012076,DOLTI,81,58,70,306.00,"21,420.00"
2026-09-17,55,2026091705012027,DOLTI,81,6,490,306.00,"149,940.00"
2026-09-17,56,2026091705012026,DOLTI,45,6,100,306.10,"30,610.00"
2026-09-17,57,2026091705012025,DOLTI,45,6,200,307.00,"61,400.00"
2026-09-17,58,2026091705012024,DOLTI,52,6,20,307.10,"6,142.00"
2026-09-17,59,2026091705011811,DOLTI,52,58,155,307.10,"47,600.50"
2026-09-17,60,2026091705012271,DORDI,50,49,10,261.80,"2,618.00"
2026-09-17,61,2026091705012217,DORDI,52,49,300,261.80,"78,540.00"
2026-09-17,62,2026091705012215,DORDI,33,32,300,261.70,"78,510.00"
2026-09-17,63,2026091705012181,DORDI,33,58,50,261.70,"13,085.00"
2026-09-17,64,2026091705012166,DORDI,51,45,200,261.10,"52,220.00"
2026-09-17,65,2026091705011865,DORDI,81,32,"1,000",261.00,"261,000.00"
2026-09-17,66,2026091705011864,DORDI,81,48,10,261.00,"2,610.00"
2026-09-17,67,2026091705011948,DORDI,81,49,"1,000",261.80,"261,800.00"
2026-09-17,68,2026091705011945,DORDI,62,49,100,261.80,"26,180.00"
2026-09-17,69,2026091705011937,DORDI,32,59,15,261.80,"3,927.00"
2026-09-17,70,2026091705011867,DORDI,81,32,24,261.00,"6,264.00"
2026-09-17,71,2026091705011866,DORDI,81,41,100,261.00,"26,100.00"
2026-09-17,72,2026091705012282,EHPL,29,57,50,332.40,"16,620.00"
2026-09-17,73,2026091705012281,EHPL,29,53,10,332.00,"3,320.00"
2026-09-17,74,2026091705012189,EHPL,19,53,20,332.00,"6,640.00"
2026-09-17,75,2026091705012120,EHPL,49,53,20,332.00,"6,640.00"
2026-09-17,76,2026091705012272,ENL,49,42,10,557.00,"5,570.00"
2026-09-17,77,2026091705012255,ENL,60,42,10,557.00,"5,570.00"
2026-09-17,78,2026091705012071,ENL,60,49,20,553.90,"11,078.00"
2026-09-17,79,2026091705011944,ENL,60,42,500,554.00,"277,000.00"
2026-09-17,80,2026091705011857,ENL,60,42,489,554.00,"270,906.00"
2026-09-17,81,2026091705011856,ENL,60,65,100,553.90,"55,390.00"
2026-09-17,82,2026091705011855,ENL,60,5,100,553.00,"55,300.00"
2026-09-17,83,2026091705011854,ENL,60,42,400,550.00,"220,000.00"
2026-09-17,84,2026091705011883,GCIL,25,38,14,379.00,"5,306.00"
2026-09-17,85,2026091705011911,GCIL,29,39,15,380.00,"5,700.00"
2026-09-17,86,2026091705012028,GCIL,25,42,12,379.00,"4,548.00"
2026-09-17,87,2026091705012257,GVL,96,38,10,494.80,"4,948.00"
