date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-08-25,1,2026082505011360,AHL,42,34,10,398.00,"3,980.00"
2026-08-25,2,2026082505011111,AHL,26,34,480,398.00,"191,040.00"
2026-08-25,3,2026082505011110,AHL,26,58,60,397.00,"23,820.00"
2026-08-25,4,2026082505011109,AHL,26,38,90,397.00,"35,730.00"
2026-08-25,5,2026082505011072,AHL,4,13,30,390.00,"11,700.00"
2026-08-25,6,2026082505011071,AHL,40,13,70,390.00,"27,300.00"
2026-08-25,7,2026082505011035,AHL,42,34,10,395.00,"3,950.00"
2026-08-25,8,2026082505011371,BBC,101,13,10,"4,052.00","40,520.00"
2026-08-25,9,2026082505011283,BBC,47,17,10,"4,090.00","40,900.00"
2026-08-25,10,2026082505011076,BEDC,42,45,419,298.00,"124,862.00"
2026-08-25,11,2026082505011075,BEDC,54,45,10,298.10,"2,981.00"
2026-08-25,12,2026082505011025,BEDC,42,45,102,298.00,"30,396.00"
2026-08-25,13,2026082505010992,BEDC,49,45,30,298.00,"8,940.00"
2026-08-25,14,2026082505010991,BEDC,59,45,258,298.00,"76,884.00"
2026-08-25,15,2026082505010926,BEDC,58,45,50,299.00,"14,950.00"
2026-08-25,16,2026082505011108,BHDC,58,41,10,428.00,"4,280.00"
2026-08-25,17,2026082505011007,BHDC,1,94,10,428.00,"4,280.00"
2026-08-25,18,2026082505011006,BHDC,85,26,40,425.50,"17,020.00"
2026-08-25,19,2026082505011336,BHL,25,50,756,204.00,"154,224.00"
2026-08-25,20,2026082505011335,BHL,25,59,30,204.00,"6,120.00"
2026-08-25,21,2026082505011334,BHL,25,49,100,204.00,"20,400.00"
2026-08-25,22,2026082505011333,BHL,25,7,90,203.60,"18,324.00"
2026-08-25,23,2026082505011288,BHL,35,1,15,203.00,"3,045.00"
2026-08-25,24,2026082505011213,BHL,58,1,100,203.00,"20,300.00"
2026-08-25,25,2026082505011128,BHL,4,1,100,203.00,"20,300.00"
2026-08-25,26,2026082505011086,BHL,35,7,10,203.60,"2,036.00"
2026-08-25,27,2026082505010995,BHL,4,45,900,203.00,"182,700.00"
2026-08-25,28,2026082505010994,BHL,42,45,100,203.00,"20,300.00"
2026-08-25,29,2026082505010956,BHL,42,11,700,203.00,"142,100.00"
2026-08-25,30,2026082505010925,BHL,17,11,100,203.00,"20,300.00"
