date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-09-01,1,2026090105011269,AHL,42,77,10,373.80,"3,738.00"
2026-09-01,2,2026090105010829,BBC,69,50,10,"4,003.00","40,030.00"
2026-09-01,3,2026090105010828,BBC,22,50,10,"4,003.50","40,035.00"
2026-09-01,4,2026090105011079,BEDC,72,32,10,281.90,"2,819.00"
2026-09-01,5,2026090105010988,BEDC,59,32,10,281.90,"2,819.00"
2026-09-01,6,2026090105011250,BGWT,42,47,180,467.00,"84,060.00"
2026-09-01,7,2026090105011249,BGWT,58,47,20,467.10,"9,342.00"
2026-09-01,8,2026090105011104,BGWT,42,57,43,467.00,"20,081.00"
2026-09-01,9,2026090105011103,BGWT,60,57,157,467.10,"73,334.70"
2026-09-01,10,2026090105010918,BGWT,44,47,10,470.00,"4,700.00"
2026-09-01,11,2026090105010917,BGWT,57,47,100,470.00,"47,000.00"
2026-09-01,12,2026090105010916,BGWT,28,47,147,470.70,"69,192.90"
2026-09-01,13,2026090105010920,BGWT,60,47,43,467.10,"20,085.30"
2026-09-01,14,2026090105010919,BGWT,35,47,200,469.50,"93,900.00"
2026-09-01,15,2026090105011253,BHDC,50,34,10,409.70,"4,097.00"
2026-09-01,16,2026090105010991,BHDC,39,35,100,406.00,"40,600.00"
2026-09-01,17,2026090105010889,BHDC,50,35,100,406.00,"40,600.00"
2026-09-01,18,2026090105011281,BHL,1,85,50,197.00,"9,850.00"
2026-09-01,19,2026090105010962,BHL,1,85,236,197.00,"46,492.00"
2026-09-01,20,2026090105010958,BHL,1,85,264,197.00,"52,008.00"
2026-09-01,21,2026090105010957,BHL,42,85,108,197.00,"21,276.00"
2026-09-01,22,2026090105010931,BHL,53,85,628,197.00,"123,716.00"
2026-09-01,23,2026090105010930,BHL,53,65,872,197.00,"171,784.00"
2026-09-01,24,2026090105010816,BHL,58,41,105,196.90,"20,674.50"
2026-09-01,25,2026090105010815,BHL,58,58,100,196.80,"19,680.00"
2026-09-01,26,2026090105010897,BHL,58,65,25,197.00,"4,925.00"
2026-09-01,27,2026090105010821,BHL,58,65,"1,103",197.00,"217,291.00"
2026-09-01,28,2026090105010820,BHL,58,44,"2,000",197.00,"394,000.00"
2026-09-01,29,2026090105010819,BHL,58,85,"1,525",197.00,"300,425.00"
2026-09-01,30,2026090105010818,BHL,58,38,100,197.00,"19,700.00"
2026-09-01,31,2026090105010817,BHL,58,44,54,197.00,"10,638.00"
2026-09-01,32,2026090105010993,BHPL,72,42,91,435.00,"39,585.00"
2026-09-01,33,2026090105011280,BNHC,35,18,10,254.90,"2,549.00"
2026-09-01,34,2026090105011088,BNHC,1,42,45,253.20,"11,394.00"
2026-09-01,35,2026090105010979,BNHC,14,48,50,253.10,"12,655.00"
2026-09-01,36,2026090105010880,BNHC,1,42,"1,000",253.20,"253,200.00"
2026-09-01,37,2026090105011257,CHDC,49,49,10,"2,150.00","21,500.00"
2026-09-01,38,2026090105011196,CHDC,11,50,10,"2,149.90","21,499.00"
2026-09-01,39,2026090105011116,CHDC,1,66,17,"2,144.00","36,448.00"
2026-09-01,40,2026090105011115,CHDC,5,66,183,"2,145.00","392,535.00"
2026-09-01,41,2026090105011069,CHDC,5,66,150,"2,145.00","321,750.00"
