date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-07-14,1,2026071405011309,BEDC,59,17,10,309.00,"3,090.00"
2026-07-14,2,2026071405010927,BEDC,47,25,50,306.50,"15,325.00"
2026-07-14,3,2026071405011099,BEDC,47,42,640,306.50,"196,160.00"
2026-07-14,4,2026071405011098,BEDC,58,42,200,306.60,"61,320.00"
2026-07-14,5,2026071405011097,BEDC,38,42,150,307.00,"46,050.00"
2026-07-14,6,2026071405011096,BEDC,22,42,10,307.00,"3,070.00"
2026-07-14,7,2026071405011214,BEDC,25,17,20,309.00,"6,180.00"
2026-07-14,8,2026071405011330,BGWT,47,32,50,550.00,"27,500.00"
2026-07-14,9,2026071405011329,BGWT,47,58,10,550.00,"5,500.00"
2026-07-14,10,2026071405011328,BGWT,47,42,200,548.00,"109,600.00"
2026-07-14,11,2026071405011327,BGWT,47,44,26,548.00,"14,248.00"
2026-07-14,12,2026071405011326,BGWT,47,64,50,548.00,"27,400.00"
2026-07-14,13,2026071405011325,BGWT,47,56,10,546.00,"5,460.00"
2026-07-14,14,2026071405011015,BGWT,47,86,53,530.00,"28,090.00"
2026-07-14,15,2026071405011014,BGWT,42,86,10,531.00,"5,310.00"
2026-07-14,16,2026071405011312,BGWT,47,1,66,533.90,"35,237.40"
2026-07-14,17,2026071405011257,BGWT,41,1,34,533.90,"18,152.60"
2026-07-14,18,2026071405011318,BGWT,47,1,100,534.90,"53,490.00"
2026-07-14,19,2026071405011317,BGWT,47,42,11,534.80,"5,882.80"
2026-07-14,20,2026071405011316,BGWT,47,61,11,534.00,"5,874.00"
2026-07-14,21,2026071405011315,BGWT,47,1,83,534.00,"44,322.00"
2026-07-14,22,2026071405011314,BGWT,47,5,50,534.00,"26,700.00"
2026-07-14,23,2026071405011313,BGWT,47,57,44,534.00,"23,496.00"
2026-07-14,24,2026071405011324,BGWT,47,44,20,545.00,"10,900.00"
2026-07-14,25,2026071405011323,BGWT,47,14,20,541.00,"10,820.00"
2026-07-14,26,2026071405011322,BGWT,47,92,480,540.00,"259,200.00"
2026-07-14,27,2026071405011321,BGWT,47,49,56,540.00,"30,240.00"
2026-07-14,28,2026071405011320,BGWT,47,6,31,539.90,"16,736.90"
2026-07-14,29,2026071405011319,BGWT,47,45,100,535.00,"53,500.00"
2026-07-14,30,2026071405011354,BHDC,57,43,17,425.00,"7,225.00"
